class_ar,booming,booming_confidence,shrinking,shrinking_confidence,top_5_companies,,,,,,,,
 تجهيز وحفظ اللحوم,0,,1,mid,القاهرة زراعة ذ.م.م (29.91%) | الإسكندرية تجارة ش.ذ.م.م (23.58%) | حورس بلاستيك ش.م.م (17.94%) | الإسكندرية بلاستيك ش.ذ.م.م (9.69%) | الدلتا بلاستيك محدودة (6.79%),,,,,,,,
 تحضير الموقع,0,,1,mid,القاهرة لوجستيات ش.ذ.م.م (4.47%) | حورس منسوجات محدودة (4.26%) | الإسكندرية صلب ش.ذ.م.م (3.88%) | القاهرة كيماويات ش.ذ.م.م (3.80%) | النيل خدمات ش.م.م (3.59%),,,,,,,,
 تحضير وغزل ألياف المنسوجات,0,,1,mid,القاهرة تقنية ش.م.م (19.94%) | الجيزة صلب محدودة (14.26%) | الدلتا تجارة ش.م.م (12.11%) | الإسكندرية منسوجات ذ.م.م (11.10%) | سيناء بلاستيك ذ.م.م (10.02%),,,,,,,,
 تربية الجمال والحيوانات الجملية,0,,1,high,الإسكندرية تجارة ذ.م.م (32.45%) | اللوتس لوجستيات ش.ذ.م.م (23.28%) | الأهرام منسوجات ذ.م.م (17.08%) | الدلتا منسوجات ذ.م.م (14.92%) | الإسكندرية بلاستيك محدودة (5.41%),,,,,,,,
 تربية الحيوانات الأخرى,1,mid,0,,الجيزة تجارة ذ.م.م (16.65%) | النيل أغذية ش.ذ.م.م (15.43%) | الأهرام بلاستيك ش.م.م (10.65%) | اللوتس تقنية ش.ذ.م.م (10.61%) | الإسكندرية زراعة ذ.م.م (7.96%),,,,,,,,
 تربية الخنازير,0,,1,mid,الجيزة منسوجات ش.ذ.م.م (30.82%) | الجيزة تقنية ذ.م.م (29.34%) | اللوتس صلب ش.ذ.م.م (8.59%) | الإسكندرية أغذية ش.ذ.م.م (8.39%) | الأهرام خدمات ش.م.م (6.85%),,,,,,,,
 تربية الخيول والحيوانات الخيلية الأخرى,0,,1,high,حورس تقنية ش.ذ.م.م (44.90%) | القاهرة لوجستيات ش.ذ.م.م (23.57%) | اللوتس أغذية محدودة (15.09%) | القاهرة أغذية ش.م.م (9.39%) | حورس كيماويات ش.ذ.م.م (6.13%),,,,,,,,
 تربية الدواجن,0,,1,mid,الأهرام خدمات ش.ذ.م.م (49.13%) | الأهرام منسوجات محدودة (11.03%) | النيل صلب ش.م.م (9.74%) | حورس صلب ش.م.م (9.38%) | القاهرة أغذية ش.ذ.م.م (9.06%),,,,,,,,
 تربية الضأن والماعز,1,mid,0,,الدلتا بلاستيك محدودة (20.33%) | اللوتس منسوجات محدودة (15.92%) | الأهرام كيماويات ش.م.م (14.85%) | اللوتس بلاستيك محدودة (13.69%) | النيل زراعة ش.ذ.م.م (11.91%),,,,,,,,
 تربية المائيات البحرية,0,,1,mid,الدلتا تجارة محدودة (46.20%) | الأهرام بلاستيك محدودة (21.16%) | اللوتس صلب محدودة (16.02%) | اللوتس صلب ذ.م.م (6.34%) | حورس كيماويات ش.ذ.م.م (6.26%),,,,,,,,
 تربية المائيات في المياه العذبة,0,,1,high,اللوتس أغذية محدودة (25.02%) | الإسكندرية بلاستيك محدودة (19.36%) | مصر لوجستيات ش.ذ.م.م (17.25%) | سيناء تجارة ش.ذ.م.م (16.50%) | الجيزة خدمات ش.م.م (12.09%),,,,,,,,
 تربية الماشية والجاموس,0,,1,high,النيل تقنية ش.ذ.م.م (20.19%) | مصر لوجستيات محدودة (12.59%) | الإسكندرية منسوجات ذ.م.م (12.12%) | الإسكندرية لوجستيات ش.م.م (11.91%) | الأهرام منسوجات ش.م.م (11.58%),,,,,,,,
 تركيبات إنشائية أخرى,0,,1,mid,اللوتس كيماويات ش.ذ.م.م (7.18%) | النيل تجارة محدودة (5.75%) | سيناء تجارة ذ.م.م (4.87%) | سيناء منسوجات محدودة (4.71%) | الإسكندرية تقنية ش.ذ.م.م (4.52%),,,,,,,,
 تشغيل المرافق الرياضية,0,,1,high,سيناء منسوجات ش.ذ.م.م (44.91%) | الدلتا صلب ش.م.م (13.48%) | الجيزة لوجستيات ش.ذ.م.م (9.29%) | الجيزة خدمات محدودة (8.39%) | حورس تقنية ش.ذ.م.م (7.45%),,,,,,,,
 تشكيل المعادن بالطرق والكبس والسبك والدلفنة؛ ميتالورجيا المساحيق,0,,1,high,الأهرام صلب ش.ذ.م.م (27.99%) | حورس تجارة ش.م.م (27.94%) | الجيزة تجارة محدودة (11.57%) | مصر لوجستيات ذ.م.م (11.17%) | الدلتا منسوجات ذ.م.م (6.54%),,,,,,,,
 تصفيف الشعر وأنواع التجميل الأخرى,0,,0,,الإسكندرية تجارة ش.م.م (8.08%) | الأهرام تجارة محدودة (7.12%) | الدلتا أغذية محدودة (6.48%) | الجيزة تجارة ش.ذ.م.م (6.48%) | القاهرة تقنية محدودة (5.73%),,,,,,,,
 تصوير المستندات وتحضير الوثائق وغيرها من أنشطة الدعم المتخصصة للمكاتب,0,,1,high,النيل زراعة محدودة (16.85%) | الجيزة تجارة ذ.م.م (13.77%) | الجيزة زراعة ذ.م.م (12.85%) | سيناء صلب ش.م.م (12.52%) | الأهرام لوجستيات محدودة (11.19%),,,,,,,,
 تعدين المعادن الكيميائية ومعادن الأسمدة,0,,1,high,الإسكندرية أغذية ذ.م.م (71.10%) | الجيزة تجارة ش.ذ.م.م (28.90%),,,,,,,,
 تعدين ركازات الفلزات غير الحديدية الأخرى,0,,1,mid,مصر زراعة ذ.م.م (52.01%) | سيناء لوجستيات محدودة (22.21%) | مصر لوجستيات ذ.م.م (20.47%) | النيل صلب ش.ذ.م.م (3.08%) | اللوتس صلب ذ.م.م (2.23%),,,,,,,,
 تعدين ركازات اليورانيوم والثوريوم,0,,1,mid,الإسكندرية زراعة محدودة (39.78%) | الأهرام تجارة ش.ذ.م.م (26.55%) | الإسكندرية زراعة محدودة (10.45%) | الإسكندرية أغذية ش.ذ.م.م (8.86%) | الأهرام تقنية ذ.م.م (8.67%),,,,,,,,
 تقديم موارد بشرية أخرى,0,,0,,مصر زراعة ش.ذ.م.م (14.90%) | اللوتس زراعة محدودة (14.33%) | الجيزة كيماويات ش.ذ.م.م (9.97%) | سيناء زراعة ش.م.م (8.78%) | الأهرام كيماويات محدودة (6.75%),,,,,,,,
 تقديم وجبات الطعام في المناسبات,1,very high,0,,حورس زراعة ذ.م.م (4.98%) | اللوتس تقنية ذ.م.م (4.69%) | الجيزة كيماويات ذ.م.م (4.64%) | النيل زراعة ذ.م.م (4.37%) | اللوتس خدمات ذ.م.م (3.91%),,,,,,,,
 تقطير المشروبات الروحية وتكريرها وخلطها,1,mid,1,mid,الأهرام تجارة ش.ذ.م.م (22.25%) | النيل زراعة محدودة (19.19%) | سيناء صلب ش.ذ.م.م (14.31%) | الجيزة منسوجات ش.م.م (6.76%) | اللوتس بلاستيك ش.ذ.م.م (6.27%),,,,,,,,
 تقييم المخاطر والأضرار,0,,0,,اللوتس تقنية ذ.م.م (27.34%) | حورس تقنية ذ.م.م (12.75%) | الجيزة منسوجات محدودة (8.18%) | القاهرة أغذية ذ.م.م (6.74%) | حورس أغذية ش.ذ.م.م (5.61%),,,,,,,,
" تنظيم أنشطة تقديم الرعاية الصحية والتعليم والخدمات الثقافية وغيرها من الخدمات الاجتماعية، فيما عدا الضمان الاجتماعي",0,,1,mid,القاهرة منسوجات ش.ذ.م.م (53.70%) | الدلتا صلب محدودة (34.63%) | الدلتا تقنية محدودة (11.67%),,,,,,,,
 تنظيم أنشطة قطاع الأعمال والمساهمة في تحسين عملياته,0,,1,high,سيناء زراعة ش.ذ.م.م (38.97%) | الدلتا صلب ش.ذ.م.م (36.39%) | الدلتا زراعة محدودة (24.65%),,,,,,,,
 توصيل الوقود البخاري وتكييف الهواء,1,mid,0,,النيل منسوجات ذ.م.م (12.84%) | سيناء صلب ش.م.م (7.06%) | حورس تقنية ش.ذ.م.م (6.88%) | سيناء صلب ش.م.م (6.13%) | الدلتا زراعة محدودة (6.06%),,,,,,,,
 توليد الطاقة الكهربائية ونقلها وتوزيعها,0,,1,mid,القاهرة صلب محدودة (7.32%) | اللوتس تقنية محدودة (6.93%) | النيل بلاستيك ذ.م.م (6.80%) | القاهرة تقنية محدودة (6.49%) | الإسكندرية صلب ش.ذ.م.م (6.32%),,,,,,,,
 جمع النفايات الخطرة,1,mid,1,mid,النيل لوجستيات ش.م.م (55.68%) | الإسكندرية بلاستيك ش.ذ.م.م (18.81%) | حورس خدمات ذ.م.م (11.04%) | حورس خدمات ش.ذ.م.م (10.79%) | حورس تجارة ش.ذ.م.م (3.68%),,,,,,,,
 جمع النفايات غير الخطرة,0,,1,high,النيل كيماويات ش.م.م (44.65%) | الجيزة تقنية ش.م.م (21.54%) | اللوتس تقنية ش.ذ.م.م (12.02%) | الأهرام خدمات محدودة (6.23%) | الدلتا لوجستيات محدودة (3.88%),,,,,,,,
 خدمات الدعم للحراجة,0,,1,very high,القاهرة زراعة ذ.م.م (37.06%) | الأهرام تقنية ش.ذ.م.م (15.22%) | حورس تقنية ش.م.م (10.93%) | النيل كيماويات ش.م.م (9.72%) | مصر خدمات محدودة (9.29%),,,,,,,,
 دبغ وتهيئة الجلود؛ تهيئة وصبغ الفراء,0,,1,mid,اللوتس أغذية ش.ذ.م.م (25.64%) | حورس زراعة محدودة (23.74%) | الجيزة خدمات ش.ذ.م.م (16.95%) | سيناء كيماويات محدودة (13.48%) | الجيزة أغذية ش.ذ.م.م (8.13%),,,,,,,,
 زراعة أشجار وشجيرات الفاكهة الأخرى والجوزيات,1,high,0,,القاهرة منسوجات ش.م.م (27.40%) | الدلتا صلب ذ.م.م (23.17%) | النيل خدمات ش.ذ.م.م (19.73%) | القاهرة أغذية ذ.م.م (7.37%) | الجيزة زراعة ذ.م.م (6.99%),,,,,,,,
 زراعة الأرز,1,high,0,,القاهرة كيماويات ذ.م.م (50.09%) | اللوتس تجارة ش.ذ.م.م (19.36%) | الأهرام كيماويات محدودة (12.38%) | الإسكندرية لوجستيات ش.ذ.م.م (6.05%) | النيل صلب ش.ذ.م.م (3.43%),,,,,,,,
 زراعة الأعناب,1,mid,1,mid,الجيزة تقنية ش.م.م (18.25%) | القاهرة لوجستيات ش.م.م (12.77%) | الأهرام زراعة ش.م.م (12.54%) | مصر كيماويات ش.م.م (9.26%) | سيناء خدمات ش.م.م (7.79%),,,,,,,,
 زراعة التبغ,0,,1,mid,الجيزة أغذية محدودة (17.08%) | حورس منسوجات ش.ذ.م.م (14.72%) | النيل لوجستيات ش.ذ.م.م (14.06%) | النيل لوجستيات ش.م.م (8.61%) | مصر لوجستيات ش.ذ.م.م (7.87%),,,,,,,,
 زراعة التوابل والمحاصيل العطرية ومحاصيل العقاقير والمحاصيل الصيدلانية,0,,1,mid,الإسكندرية تجارة ش.م.م (24.20%) | مصر لوجستيات ذ.م.م (20.75%) | القاهرة تقنية محدودة (17.71%) | سيناء تجارة ش.ذ.م.م (9.51%) | الأهرام زراعة محدودة (8.87%),,,,,,,,
 زراعة الثمار التفاحية والثمار ذات النواة,0,,1,high,مصر تجارة ش.ذ.م.م (35.36%) | مصر منسوجات ش.ذ.م.م (32.11%) | الإسكندرية تقنية ذ.م.م (11.61%) | حورس لوجستيات محدودة (7.93%) | مصر منسوجات ش.ذ.م.م (4.50%),,,,,,,,
 زراعة الثمار الزيتية,1,mid,1,mid,مصر صلب ذ.م.م (49.98%) | الجيزة تقنية ذ.م.م (15.30%) | الجيزة خدمات محدودة (10.92%) | الجيزة بلاستيك محدودة (8.29%) | الدلتا بلاستيك محدودة (4.85%),,,,,,,,
 زراعة الحبوب باستثناء الأرز( والمحاصيل البقولية والبذور الزيتية),0,,1,mid,الإسكندرية أغذية ش.م.م (25.42%) | سيناء كيماويات ذ.م.م (20.63%) | القاهرة كيماويات ش.م.م (13.42%) | الدلتا كيماويات محدودة (11.64%) | سيناء خدمات ذ.م.م (8.25%),,,,,,,,
 زراعة الحمضيات (الموالح),0,,1,high,الجيزة كيماويات ش.م.م (20.68%) | القاهرة لوجستيات ش.م.م (17.59%) | الأهرام أغذية ذ.م.م (12.61%) | النيل تقنية ذ.م.م (9.18%) | النيل كيماويات ش.ذ.م.م (8.70%),,,,,,,,
 زراعة الخضر والبطيخيات والجذور والدرنات,0,,1,high,حورس زراعة محدودة (19.75%) | الأهرام زراعة ش.ذ.م.م (15.95%) | مصر أغذية محدودة (15.80%) | حورس لوجستيات ش.ذ.م.م (11.18%) | مصر تقنية ش.م.م (8.60%),,,,,,,,
 زراعة الفواكه المدارية وشبه المدارية,0,,1,high,سيناء لوجستيات ش.م.م (24.50%) | القاهرة صلب ش.م.م (17.67%) | الأهرام بلاستيك ش.م.م (17.07%) | القاهرة زراعة محدودة (14.63%) | سيناء كيماويات محدودة (8.61%),,,,,,,,
 زراعة المحاصيل الأخرى غير الدائمة,1,mid,1,mid,حورس خدمات محدودة (25.05%) | الإسكندرية منسوجات ش.م.م (15.07%) | سيناء تقنية محدودة (14.39%) | الدلتا لوجستيات محدودة (9.51%) | اللوتس صلب ش.م.م (5.36%),,,,,,,,
 زراعة المحاصيل الدائمة الأخرى,0,,0,,الدلتا لوجستيات محدودة (26.44%) | الأهرام صلب ش.م.م (15.43%) | سيناء كيماويات ذ.م.م (14.98%) | مصر منسوجات محدودة (9.87%) | سيناء تجارة ش.م.م (6.48%),,,,,,,,
 زراعة قصب السكر,1,high,0,,سيناء منسوجات ش.م.م (29.54%) | مصر زراعة محدودة (22.91%) | حورس صلب ش.ذ.م.م (19.38%) | القاهرة تجارة ش.م.م (7.56%) | النيل زراعة محدودة (5.88%),,,,,,,,
 زراعة محاصيل الألياف,0,,1,mid,النيل تقنية ش.ذ.م.م (18.90%) | الدلتا تجارة محدودة (18.10%) | سيناء خدمات ش.م.م (14.26%) | الإسكندرية تجارة ش.ذ.م.م (8.22%) | مصر منسوجات محدودة (7.17%),,,,,,,,
 زراعة محاصيل المشروبات,0,,0,,الإسكندرية تجارة ذ.م.م (43.06%) | الدلتا بلاستيك محدودة (20.66%) | القاهرة تجارة ذ.م.م (8.99%) | سيناء أغذية ذ.م.م (4.86%) | الأهرام خدمات ش.م.م (4.64%),,,,,,,,
 سبك الحديد والصلب,1,mid,1,mid,مصر تجارة ش.ذ.م.م (65.35%) | اللوتس تقنية ش.م.م (13.27%) | النيل زراعة ش.ذ.م.م (7.97%) | الأهرام صلب ش.ذ.م.م (7.96%) | القاهرة بلاستيك محدودة (5.46%),,,,,,,,
 سبك المعادن غير الحديدية,0,,1,high,الجيزة بلاستيك محدودة (25.41%) | حورس كيماويات ش.م.م (17.61%) | النيل خدمات ذ.م.م (17.23%) | الدلتا صلب ش.ذ.م.م (14.10%) | النيل تجارة محدودة (10.34%),,,,,,,,
 صناعة الآلات الزراعية وآلات الحراجة,1,mid,1,mid,اللوتس زراعة ذ.م.م (27.58%) | حورس صلب ش.ذ.م.م (14.95%) | الدلتا صلب ش.ذ.م.م (10.79%) | سيناء أغذية ذ.م.م (10.50%) | الجيزة تقنية ذ.م.م (10.39%),,,,,,,,
 صيد أسماك المياه العذبة,0,,0,,حورس لوجستيات محدودة (19.87%) | اللوتس منسوجات ش.م.م (18.19%) | اللوتس منسوجات ش.م.م (14.56%) | الإسكندرية تجارة ذ.م.م (10.15%) | مصر زراعة ذ.م.م (10.10%),,,,,,,,
 صيد الأسماك البحرية,1,mid,1,mid,الإسكندرية منسوجات محدودة (16.61%) | الأهرام كيماويات محدودة (12.49%) | الدلتا منسوجات ش.م.م (11.29%) | الجيزة منسوجات ذ.م.م (10.56%) | الأهرام بلاستيك ذ.م.م (9.48%),,,,,,,,
 صُنع آلات أخرى لأغراض خاصة,0,,1,mid,الدلتا زراعة محدودة (27.80%) | الجيزة أغذية ش.م.م (12.14%) | الجيزة زراعة محدودة (11.26%) | سيناء خدمات ذ.م.م (7.94%) | سيناء صلب ذ.م.م (7.21%),,,,,,,,
 صُنع آلات إنتاج المنسوجات والملبوسات والجلود,0,,1,mid,اللوتس منسوجات ش.م.م (31.27%) | الدلتا صلب ش.ذ.م.م (28.21%) | مصر تجارة ش.م.م (11.61%) | الدلتا زراعة ش.ذ.م.م (11.56%) | القاهرة منسوجات ش.م.م (4.69%),,,,,,,,
 صُنع آلات تجهيز الأغذية والمشروبات والتبغ,0,,1,mid,الأهرام لوجستيات محدودة (27.53%) | حورس كيماويات ش.ذ.م.م (18.37%) | الأهرام خدمات ذ.م.م (13.55%) | اللوتس تقنية ش.م.م (9.95%) | الجيزة صلب ش.ذ.م.م (9.49%),,,,,,,,
 صُنع آلات تستعمل في الميتالورجيا,0,,1,high,اللوتس تجارة ش.ذ.م.م (24.79%) | الإسكندرية صلب ش.ذ.م.م (12.94%) | الأهرام كيماويات ش.م.م (12.63%) | الأهرام تجارة ش.م.م (9.95%) | القاهرة خدمات ذ.م.م (8.32%),,,,,,,,
 صُنع آلات تشكيل المعادن والعدد الآلية,1,very high,0,,حورس تجارة محدودة (29.27%) | الأهرام أغذية ش.ذ.م.م (27.46%) | سيناء صلب محدودة (11.11%) | الجيزة كيماويات ش.م.م (8.98%) | سيناء بلاستيك ذ.م.م (5.50%),,,,,,,,
 صُنع آلات لعمليات التعدين واستغلال المحاجر والتشييد,0,,1,mid,مصر زراعة محدودة (42.86%) | سيناء لوجستيات محدودة (22.90%) | الإسكندرية تقنية ذ.م.م (10.99%) | الأهرام بلاستيك ش.م.م (9.35%) | النيل تجارة ذ.م.م (5.93%),,,,,,,,
 صُنع أجزاء وتوابع ومحرّكات المركبات ذات المحرّكات,0,,1,mid,سيناء لوجستيات محدودة (29.13%) | اللوتس بلاستيك ش.ذ.م.م (28.00%) | سيناء زراعة ذ.م.م (11.40%) | الدلتا بلاستيك ذ.م.م (8.27%) | مصر صلب محدودة (6.23%),,,,,,,,
 صُنع أجهزة الأسلاك,0,,0,,النيل تجارة ش.ذ.م.م (22.94%) | اللوتس تقنية ش.ذ.م.م (22.92%) | الإسكندرية كيماويات ذ.م.م (16.11%) | سيناء منسوجات ذ.م.م (11.08%) | الدلتا تقنية ش.م.م (8.31%),,,,,,,,
 صُنع أدوات القطع والعُدد اليدوية والأدوات المعدنية العامة,0,,0,,القاهرة لوجستيات ذ.م.م (46.74%) | اللوتس بلاستيك محدودة (15.51%) | سيناء صلب ذ.م.م (12.22%) | الإسكندرية بلاستيك محدودة (9.06%) | الإسكندرية تجارة ذ.م.م (8.61%),,,,,,,,
 صُنع أصناف أخرى من الورق والورق المقوى,1,very high,0,,النيل بلاستيك محدودة (36.08%) | اللوتس كيماويات ش.ذ.م.م (11.33%) | حورس كيماويات ش.م.م (9.30%) | الجيزة زراعة محدودة (9.10%) | مصر تجارة محدودة (5.22%),,,,,,,,
 صُنع أصناف من الخرسانة والأسمنت والجص,0,,1,mid,سيناء خدمات محدودة (32.10%) | القاهرة أغذية محدودة (29.78%) | الأهرام تجارة محدودة (26.24%) | الأهرام تجارة ش.ذ.م.م (6.43%) | القاهرة زراعة ش.ذ.م.م (3.71%),,,,,,,,
 صُنع الآلات الأخرى متعددة الأغراض,0,,1,mid,الأهرام كيماويات ذ.م.م (32.94%) | النيل تجارة ش.م.م (30.13%) | الإسكندرية خدمات محدودة (17.41%) | اللوتس خدمات ش.ذ.م.م (16.12%) | الإسكندرية كيماويات ش.م.م (3.41%),,,,,,,,
 صُنع الآلات والمعدات المكتبية )باستثناء الحواسيب والمعدات الملحقة بها(,0,,1,mid,الدلتا لوجستيات محدودة (24.39%) | الأهرام تجارة ش.م.م (23.42%) | سيناء بلاستيك ش.ذ.م.م (16.14%) | الجيزة كيماويات ش.ذ.م.م (9.66%) | الجيزة منسوجات ش.م.م (5.65%),,,,,,,,
 صُنع الأجهزة الكهربائية المنزلية,0,,0,,الدلتا منسوجات ش.ذ.م.م (45.43%) | الدلتا خدمات ش.ذ.م.م (18.06%) | النيل لوجستيات ذ.م.م (5.81%) | الدلتا تقنية ش.م.م (4.51%) | مصر تجارة ش.م.م (4.02%),,,,,,,,
 صُنع الأدوات والمستلزمات الطبية والتي تستخدم في علاج الأسنان,0,,1,mid,القاهرة لوجستيات ذ.م.م (45.49%) | الجيزة تجارة ش.م.م (27.49%) | الجيزة أغذية ذ.م.م (27.03%),,,,,,,,
 صُنع الأسلاك والكابلات الإلكترونية والكهربائية الأخرى,0,,1,high,اللوتس تجارة ذ.م.م (38.67%) | الإسكندرية أغذية ش.ذ.م.م (36.70%) | الجيزة بلاستيك ذ.م.م (24.62%),,,,,,,,
 صُنع الأسلحة والذخائر,0,,1,mid,سيناء منسوجات ش.ذ.م.م (49.06%) | القاهرة تجارة ش.ذ.م.م (20.25%) | الأهرام كيماويات ذ.م.م (13.89%) | القاهرة أغذية ش.م.م (9.10%) | اللوتس صلب ذ.م.م (7.70%),,,,,,,,
 صُنع الأسمدة والمركبات الأزوتية,0,,0,,الجيزة صلب ش.ذ.م.م (26.00%) | الجيزة بلاستيك ش.م.م (16.33%) | النيل تقنية محدودة (15.82%) | اللوتس بلاستيك ذ.م.م (12.93%) | الجيزة لوجستيات ش.م.م (10.91%),,,,,,,,
 صُنع الأسمنت ومنتجات صُلب نصف جاهزة,0,,0,,الدلتا أغذية ش.ذ.م.م (18.60%) | حورس صلب ش.ذ.م.م (17.17%) | حورس خدمات محدودة (15.18%) | سيناء بلاستيك محدودة (13.64%) | النيل صلب ش.م.م (12.38%),,,,,,,,
 صُنع الأفران وأفران الصهر ومواقد أفران الصهر,0,,0,,الدلتا زراعة ش.ذ.م.م (27.11%) | حورس أغذية ش.م.م (23.86%) | الدلتا صلب ذ.م.م (16.08%) | حورس تجارة ش.ذ.م.م (8.90%) | اللوتس تقنية ش.م.م (7.34%),,,,,,,,
 صُنع الأقمشة المغزولة بصنارة (التريكو) وبإبرة معقوفة (الكروشيه),0,,1,high,الدلتا خدمات ش.ذ.م.م (33.33%) | الدلتا منسوجات ش.ذ.م.م (24.36%) | الإسكندرية أغذية ش.م.م (21.03%) | النيل خدمات محدودة (9.95%) | مصر منسوجات ش.م.م (4.54%),,,,,,,,
 صُنع الألياف الاصطناعية,0,,1,mid,القاهرة تقنية ش.م.م (41.64%) | الإسكندرية كيماويات محدودة (21.32%) | الأهرام منسوجات محدودة (10.24%) | النيل منسوجات ش.ذ.م.م (6.60%) | الإسكندرية كيماويات ش.م.م (6.22%),,,,,,,,
 صُنع الأنبذة,0,,1,mid,سيناء تقنية ش.م.م (21.85%) | الأهرام لوجستيات محدودة (20.28%) | سيناء أغذية ش.م.م (14.33%) | الدلتا بلاستيك ذ.م.م (9.64%) | حورس منسوجات ش.م.م (7.45%),,,,,,,,
 صُنع الأوعية الخشبية,0,,1,mid,الإسكندرية بلاستيك ش.ذ.م.م (30.57%) | الدلتا زراعة ش.م.م (21.03%) | الجيزة كيماويات ش.ذ.م.م (13.89%) | حورس صلب ذ.م.م (13.61%) | الأهرام زراعة ذ.م.م (12.11%),,,,,,,,
 صُنع الإطارات والأنابيب المطاطية؛ وتجديد الأسطح الخارجية للإطارات المطاطية وإعادة بنائها,0,,1,mid,النيل تجارة ش.ذ.م.م (25.26%) | الجيزة تجارة محدودة (24.79%) | الأهرام منسوجات ذ.م.م (21.16%) | الدلتا صلب ش.ذ.م.م (10.10%) | القاهرة لوجستيات ش.م.م (6.21%),,,,,,,,
 صُنع الإلكترونيات الاستهلاكية,0,,0,,اللوتس تقنية ش.م.م (29.24%) | حورس لوجستيات ذ.م.م (16.73%) | الجيزة صلب ش.ذ.م.م (16.43%) | حورس منسوجات ش.م.م (13.42%) | الجيزة بلاستيك ش.م.م (7.95%),,,,,,,,
 صُنع البطاريات والمراكم,0,,1,mid,الجيزة كيماويات ش.ذ.م.م (28.05%) | النيل صلب ذ.م.م (20.49%) | الدلتا لوجستيات ش.ذ.م.م (14.27%) | اللوتس بلاستيك ذ.م.م (10.95%) | اللوتس كيماويات ش.م.م (7.88%),,,,,,,,
 صُنع البُسط والسجاد,0,,1,mid,القاهرة لوجستيات ش.م.م (56.73%) | الدلتا منسوجات ش.م.م (21.06%) | الإسكندرية أغذية ذ.م.م (7.39%) | الجيزة كيماويات ذ.م.م (7.15%) | سيناء صلب ش.م.م (5.35%),,,,,,,,
 صُنع الدرّاجات العادية والكراسي المتحركة,0,,1,mid,الجيزة لوجستيات محدودة (27.90%) | النيل صلب ش.ذ.م.م (22.76%) | مصر بلاستيك ش.ذ.م.م (20.24%) | الأهرام بلاستيك ش.م.م (12.76%) | سيناء كيماويات محدودة (8.46%),,,,,,,,
 صُنع الدرّاجات النارية,0,,1,mid,حورس منسوجات ذ.م.م (31.11%) | حورس لوجستيات محدودة (23.79%) | الأهرام كيماويات ش.م.م (23.72%) | الجيزة بلاستيك ش.ذ.م.م (11.03%) | الإسكندرية تقنية محدودة (6.20%),,,,,,,,
" صُنع الدهانات والورنيشات والطلاءات المماثلة، وأحبار الطباعة والمعاجين المستكية",0,,1,mid,الإسكندرية خدمات محدودة (24.64%) | القاهرة تجارة محدودة (21.83%) | حورس خدمات محدودة (16.83%) | سيناء صلب ش.ذ.م.م (10.29%) | الإسكندرية منسوجات ش.ذ.م.م (6.34%),,,,,,,,
 صُنع الساعات بأنواعها )وآليات تحديد التوقيتات(,0,,1,mid,مصر أغذية ش.ذ.م.م (23.76%) | النيل صلب محدودة (18.89%) | الأهرام تقنية ذ.م.م (17.02%) | الإسكندرية خدمات محدودة (16.47%) | القاهرة تقنية ذ.م.م (10.13%),,,,,,,,
 صُنع السكر,0,,1,mid,الأهرام أغذية ش.م.م (38.58%) | اللوتس خدمات ش.م.م (16.10%) | النيل لوجستيات ش.ذ.م.م (11.48%) | مصر لوجستيات ش.ذ.م.م (9.57%) | الدلتا كيماويات ش.م.م (6.18%),,,,,,,,
" صُنع الصابون والمنظفات، ومستحضرات التنظيف والتلميع، العطور ومستحضرات التجميل",0,,1,mid,سيناء تقنية ش.م.م (26.67%) | النيل صلب ش.ذ.م.م (24.96%) | اللوتس تقنية ذ.م.م (16.83%) | النيل أغذية ذ.م.م (12.34%) | الأهرام تقنية ش.م.م (10.92%),,,,,,,,
 صُنع الصهاريج والخزانات والأوعية من المعادن,0,,0,,النيل خدمات ش.م.م (47.02%) | الإسكندرية تجارة ش.م.م (14.75%) | مصر تجارة محدودة (11.17%) | الأهرام زراعة محدودة (8.95%) | حورس منسوجات ذ.م.م (8.59%),,,,,,,,
 صُنع العُدد اليدوية التي تعمل بالطاقة,0,,1,high,سيناء كيماويات ذ.م.م (21.39%) | حورس تجارة محدودة (18.83%) | النيل صلب محدودة (17.16%) | اللوتس كيماويات ش.ذ.م.م (13.70%) | اللوتس أغذية محدودة (12.42%),,,,,,,,
 صُنع الكاكاو والشوكولاتة والحلويات السكرية,1,mid,1,mid,الجيزة كيماويات ش.ذ.م.م (66.24%) | النيل كيماويات محدودة (11.22%) | النيل زراعة ش.م.م (9.14%) | الإسكندرية أغذية ذ.م.م (5.27%) | النيل منسوجات ذ.م.م (3.44%),,,,,,,,
 صُنع اللدائن والمطاط التركيبي في أشكالها الأوَّلية,1,very high,0,,الأهرام خدمات ش.ذ.م.م (36.94%) | سيناء تقنية ش.ذ.م.م (23.45%) | الأهرام كيماويات ذ.م.م (15.86%) | الأهرام زراعة ذ.م.م (8.39%) | الجيزة خدمات ذ.م.م (6.85%),,,,,,,,
 صُنع اللُباب والورق والورق المقوى,0,,1,mid,الدلتا زراعة ش.ذ.م.م (32.58%) | سيناء كيماويات محدودة (22.68%) | اللوتس منسوجات محدودة (21.10%) | النيل منسوجات ذ.م.م (19.01%) | الأهرام تجارة ذ.م.م (3.17%),,,,,,,,
